assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
2493363,197621,Caridina vitiensis,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,vitiensis,,,,"Borradaile, 1899",Data Deficient,,3.1,Unknown,Global
2493800,197629,Tenuipedium palaemonoides,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Tenuipedium,palaemonoides,,,,"(Holthuis, 1950)",Data Deficient,,3.1,Unknown,Global
2493869,197630,Cryphiops villalobosi,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Cryphiops,villalobosi,,,,"Villalobos Hiriart, Nates Rodriguez &amp; Cantú Diaz Barriga, 1989",Data Deficient,,3.1,Unknown,Global
2494101,197638,Macrobrachium brevicarpum,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Macrobrachium,brevicarpum,,,,"Tan &amp; Dong, 1996",Data Deficient,,3.1,Unknown,Global
2494246,197645,Caridina baojingensis,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,baojingensis,,,,"Guo, He &amp; Bai, 1992",Data Deficient,,3.1,Unknown,Global
2494415,197650,Caridina venusta,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,venusta,,,,"L. Wang, Liang &amp; F. Li, 2008",Data Deficient,D2,3.1,Unknown,Global
2494499,197651,Neocaridina longipoda,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Neocaridina,longipoda,,,,"(Cai, 1995)",Data Deficient,,3.1,Unknown,Global
2494514,197652,Caridina lufengensis,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,lufengensis,,,,"Cai &amp; Duan, 1998",Data Deficient,,3.1,Unknown,Global
2494788,197656,Macrobrachium pilosum,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Macrobrachium,pilosum,,,," Cai &amp; Dai, 1999",Data Deficient,,3.1,Unknown,Global
2495009,197661,Troglocaris osterloffi,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Troglocaris,osterloffi,,,,"Juzbaš’jan, 1940",Data Deficient,,3.1,Unknown,Global
